Wall time,Step,Value
1619290936.2025132,50600,316.0
1619291138.6489115,51900,410.0
1619291232.137792,52500,384.0
1619291482.2564573,54100,664.0
1619291513.3195257,54300,460.0
1619291560.1023533,54600,552.0
1619291685.1128979,55400,278.0
1619291731.8985722,55700,374.0
1619291965.46034,57200,360.0
1619292012.1901734,57500,380.0
1619292324.0415554,59500,436.0
1619292449.050647,60300,566.0
1619292511.6667786,60700,714.0
1619292823.800411,62700,334.0
1619293026.8250859,64000,544.0
1619293276.451067,65600,516.0
1619293323.329372,65900,622.0
1619293463.7289078,66800,486.0
1619293635.0047824,67900,490.0
1619293713.0194793,68400,426.0
1619293744.1863527,68600,270.0
1619293822.0402524,69100,258.0
1619294430.849578,73000,686.0
1619294508.748276,73500,582.0
1619294743.03526,75000,382.0
1619294836.6761868,75600,666.0
1619294914.6661475,76100,372.0
1619295024.2209895,76800,768.0
1619295118.1000512,77400,814.0
1619295414.91162,79300,402.0
1619295665.4574192,80900,796.0
1619295696.639451,81100,734.0
1619295821.6836922,81900,544.0
1619296009.4627578,83100,662.0
1619296149.9368083,84000,314.0
1619296274.9116766,84800,506.0
1619296525.1121051,86400,570.0
1619296587.5186255,86800,468.0
1619297430.575077,92200,362.0
1619297446.1879296,92300,362.0
1619297710.913004,94000,348.0
1619297757.8950534,94300,430.0
1619297804.9101746,94600,508.0
1619298038.9600933,96100,442.0
1619298085.7548106,96400,646.0
1619298101.4751046,96500,646.0
1619298257.8212621,97500,428.0
1619298524.1678467,99200,590.0
1619298555.7205696,99400,590.0
1619298927.1238773,101500,622.0
1619299192.988035,103200,452.0
1619299271.1393604,103700,356.0
1619299693.2854235,106400,368.0
1619299848.8961651,107400,534.0
1619299942.1909368,108000,380.0
1619299973.512571,108200,362.0
1619300051.6703372,108700,390.0
1619300067.1911561,108800,410.0
1619300301.4950578,110300,448.0
1619300582.6454465,112100,294.0
1619300613.7339897,112300,294.0
1619300801.0889268,113500,844.0
1619300910.4612818,114200,390.0
1619300926.0414991,114300,384.0
1619300957.2657502,114500,354.0
1619301004.0971625,114800,440.0
1619301035.1004736,115000,406.0
1619301221.9014456,116200,678.0
1619301377.49231,117200,368.0
1619301564.8435054,118400,512.0
1619301642.794573,118900,486.0
1619302048.2233055,121500,634.0
1619302110.7670372,121900,280.0
1619302173.372093,122300,418.0
1619302188.8330073,122400,418.0
1619302298.163877,123100,478.0
1619302438.4975355,124000,790.0
1619302500.842949,124400,970.0
1619302563.148341,124800,566.0
1619302641.2540238,125300,514.0
1619302703.6757085,125700,364.0
1619302844.0657887,126600,438.0
1619302906.4648097,127000,428.0
1619302937.637666,127200,454.0
1619302968.823883,127400,666.0
1619303077.8068495,128100,724.0
1619303155.4697661,128600,554.0
1619303186.787567,128800,568.0
1619303264.7913752,129300,432.0
1619303295.8926306,129500,360.0
1619303358.338802,129900,344.0
1619303420.8559556,130300,402.0
1619303514.4290912,130900,580.0
1619303530.074192,131000,518.0
1619303888.7701585,133300,606.0
1619303950.9464617,133700,534.0
1619304463.995862,137000,476.0
1619304572.97213,137700,342.0
